text,department
"Many have blood in their respiratory secretions, they vomit blood, have bloody stool. Since 1998, ADRA has provided technical and financial support in the construction of more than 600 straw bale homes and three schools in rural villages, and trained hundreds on straw bale housing construction, including local government officials, construction workers, architects and homeowners. MUZAFFARABAD, 23 June (IRIN) - Some 11,000 residents of 30 villages around the city of Muzaffarabad, capital of quake-hit Pakistani-administered Kashmir will be evacuated from their houses by the end of this month after their villages were declared unsafe and prone to further landslides, officials said on Friday. In order to strengthen bilateral partnership with destination countries such as China and Thailand in order to address the issue in a more comprehensive way, Myanmar was in the process of developing bilateral Memorandums of Understanding. The cargo comprises 12,000 quilted blankets, 36 tents, 30 palltanks trucks (1,000lt), 30 palltanks storage (1,000 lt), 10 pillowtanks (5,000 lt) and 10 pillowtanks (10,000 lt). Out of the $300 million, ADB will contribute $10 million to the multidonor trust fund (MDTF) being established by the Government. USAID will provide plastic sheeting, zinc roof sheeting, wood framing, cement flooring, and latrines to improve housing for 3,000 households. CHENGLINGJI, China, Aug 23 (AFP) - China on Friday began a massive"" mobilisation of soldiers and civilians to combat surging flood waters that have driven more than 600,000 people from their homes.Distribution of maize and bean seed, sweet potato cuttings and vegetable seed in Mulanje and Thyolo has now been completed through Oxfam's winter cropping programme.",Housing
"Thousands huddled over heaters in emergency shelters through another freezing night along the northeastern coast, a scene of devastation after the 8.9 magnitude earthquake sent a 10-metre (33-foot) tsunami surging through towns and cities.",Environment
THERE ARE PEOPLE ALIVE UNDER THE HOUSE OF CARIBBEAN SUPER MARKET ,Safety
college fees not refunded,Education
"While it is permitted, the mosque in Bhoopasandra is very loud especially in early morning prayer. It’s loud enough to damage one’s hearing and is definitely higher than the permissible limit. Request the concerned authority to direct the mosque in-charge to reduce the volume of speaker.",Safety
"An official from Boglay Township Maternal and Child Care Association said, 'Soldiers from Division 66 and an engineering regiment from Taunggo have arrived for rescue efforts.",Safety
Garbage smell from the DUMPYARD around the area. Please look into the matter as soon as possible. The whole area is stinking so badly which is very hazardous to the health of the people living here. We have raised several complaints last year also. However nothing is resolved,Sanitation
"The main route linking Gaborone with the north of the country, was washed away near the town of Morwa, about 70 km north of the capital.",Transport
"Please forward this message for me: It's not only those in the refugee camps that need food, there are folks with tents in front of their homes too. ",Housing
how can I do to have a tent or a prelate to sleep when it's rainning? ,Environment
dead animal on road,Animal Control
.. .. in a small road mackandale #8. .. . something is squashing/pushing on ussend us someone to help,Transport
Garbage not being picked for long causing difficulty to walk on footpath,Sanitation
Navy's marine commandos rescued around 200 people at Haigaon on the Srinagar-Sopore highway.,Safety
No street lights from commercial tax office to kasa rasa,Electricity
"(a) According to the Ministry of Health, 12 people out of the 24 confirmed cases of the Ebola acute haemorrhagic fever syndrome have died in Mbomo and Mbanza.",Health
"The quake struck off Sumatra's west coast near Padang, on part of the so-called ""Ring of Fire"" system of faultlines and volcanoes that make Indonesia one of the most quake-prone countries in the world.",Safety
